Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,EMW Quote excerpt,EMW Name,EMW Title,EMW Community logo,EMW hyperlink,EMW Full quote
Derek Harris,et-sed-excepturi,63c996427b6ea9114fe08f7e,63c996437b6ea968a1e09fc1,Sun Jul 10 2022 07:01:32 GMT+0000 (Coordinated Universal Time),Thu Dec 01 2022 17:30:59 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),"""I am amazed at what we're on the brink of. Everything just feels right. I'm in awe of your team and what you're offering to our communities...""",Derek Harris,"Wellness Analyst, Arrow Senior Living",https://uploads-ssl.webflow.com/61d2e3c9499f212051abd992/61d80709f9e5fd579c5f9baf_1641547528406-image15.jpg,https://webflow.com,"""I am amazed at what we're on the brink of. Everything just feels right. I'm in awe of your team and what you're offering to our communities, our team members, and our residents!"""
Andy Belt,repudiandae-animi-reprehenderit,63c996427b6ea9114fe08f7e,63c996437b6ea92e15e09fcc,Sun Jul 10 2022 07:01:32 GMT+0000 (Coordinated Universal Time),Thu Dec 01 2022 17:29:01 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),"""[EmpowerMe Wellness] truly understand Senior Living Communities and what is needed to optimize care...""",Andy Belt,"Executive Director, Living at the Landings",https://uploads-ssl.webflow.com/61d2e3c9499f212051abd992/62ca79457c26b5ecbb48d443_1657436484827-image19.jpg,https://vimeo.com,"""As Executive Director of an Assisted Living Community, I highly recommend EmpowerMe Wellness as a valuable service for residents. EmpowerMe brings a variety of therapies that are designed for the senior population. They set up on-site, which allows residents to receive physical, occupational, and speech therapies right in their own homes. The quality of service is top-notch and the EmpowerMe team is highly skilled in bringing in this wonderful service with very little trouble. Set up is easy, communication is thorough and effective, and they are always seeking to improve services to ensure residents, families, and providers are completely satisfied with this service. They truly understand Senior Living Communities and what is needed to optimize care and fill in the gaps with services that can be provided with convenience and efficiency.
I highly recommend EmpowerMe Wellness to any senior living community looking to optimize the quality of care."""
Alexis Martini,testimonial-10,63c996427b6ea9114fe08f7e,63c996437b6ea986c3e09bb9,Thu Dec 01 2022 17:22:38 GMT+0000 (Coordinated Universal Time),Thu Dec 01 2022 18:06:03 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),"“Our residents have had significant declines in falls, increases in their ability to walk, and improved mobility.”",Alexis Martini,"CEO, MorningStar Senior Living",,,"“Our residents have had significant declines in falls, increases in their ability to walk, and improved mobility.”"
Greg Jovi,testimonial-3,63c996427b6ea9114fe08f7e,63c996427b6ea9568ee090ea,Wed Aug 24 2022 18:16:41 GMT+0000 (Coordinated Universal Time),Thu Dec 01 2022 17:26:48 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),“The team that is in here is seamless. I have had high hopes going in to this partnership and they have exceeded all expectations...,Greg Jovi,"Executive Director, Villas of Holly Brook",,,“The team that is in here is seamless. I have had high hopes going in to this partnership and they have exceeded all expectations. Your team has found things that we thought we might be missing with our residents and they have confirmed that... ‘some residents would originally refuse and the EMW therapists were able to work with literally any challenging patient that came their way.’”
"Paula Blaine, RN",testimonial-4,63c996427b6ea9114fe08f7e,63c996427b6ea95917e090c4,Fri Aug 05 2022 17:52:30 GMT+0000 (Coordinated Universal Time),Thu Dec 01 2022 17:27:00 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),"""EmpowerMe Wellness does not just bring therapy, diagnostics, or pharmacy services to communities, they bring a sense of family and compassion...""","Paula Blaine, RN",Director of Clinical Services,,,"""It is with great respect; I highly recommend EmpowerMe Wellness as a preferred provider of services for residents. Our company entered a partnership with EmpowerMe early last year and have seen vast improvements in our resident’s quality of life and level of independence. EmpowerMe Wellness offers a variety of services that are designed with the senior population in mind. The EmpowerMe team is set up in each of our communities, this allows our resident to receive all services within their homes. EmpowerMe Wellness also ensures only the highest quality of therapists are part of their team. They become part of our communities and part of our teams, which allows our residents to trust them and want to use their services. Their teams intentionally go above and beyond to make our communities’ workflow efficient and resident care is the top priority. EmpowerMe Wellness does not just bring therapy, diagnostics, or pharmacy services to communities, they bring a sense of family and compassion. The Villas of Holly Brook strives daily to provide life changing care and with our partnership with EmpowerMe Wellness we are meeting that goal and beyond. EmpowerMe Wellness understands what it takes to meet residents where they are at and have the skill set to improve resident’s level of independence. I not only recommend EmpowerMe Wellness for your organization, but I would highly encourage it. If you have any questions or would like to further discuss, please feel free to reach out."""
Rachel Grace,testimonial-5,63c996427b6ea9114fe08f7e,63c996427b6ea9d629e090d6,Fri Aug 05 2022 17:54:54 GMT+0000 (Coordinated Universal Time),Thu Dec 01 2022 17:27:12 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),"""...I've encountered many experiences where EmpowerMe Wellness has created MAJOR improvements to enhance the quality of my residents' lives!""",Rachel Grace,"Executive Director, Villas of Holly Brook Bellevue",,,"""I entered the Executive Director position at The Villas of Holly Brook in Bellevue a month ago and was intrigued by having EmpowerMe Wellness therapy in our community at all times! Since I've taken this position, I've encountered many experiences where EmpowerMe Wellness has created MAJOR improvements to enhance the quality of my residents' lives! ""Our therapy director, Stephanie Rose has been phenomenal with communicating our residents' needs and always has a positive attitude working with the seniors! She even led a karaoke event, which I'm sure was a little off her 'key.' (Ha ha ha!) She's a huge asset to our community and we couldn't be more thankful for her. ""Therapy is truly important to enriching seniors' lives and I've been excited to let every new resident know this information the minute they walk through the doors! Thank you, EmpowerMe Wellness. I look forward to working more with your company — not only with the therapy services you offer, but beginning lab diagnostics as well!"" "
Rod Clark,testimonial-6,63c996427b6ea9114fe08f7e,63c996427b6ea9569fe090fd,Fri Aug 05 2022 17:56:06 GMT+0000 (Coordinated Universal Time),Thu Dec 01 2022 17:31:36 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),"""...When families see your team working with our residents and see how involved they are in this building they just smile. It gives them comfort that their loved ones are being taken care of...""",Rod Clark,"Executive Director, Benton House of Staley Hills",,,"""I just want to thank you and your team for making such a difference here at Benton House. Your team here is like no other I have ever worked with. They are absolutely terrific! What an asset you guys are to our building. I make a point to include them in every tour I do in this building. It is a huge selling point for us. When families see your team working with our residents and see how involved they are in this building they just smile. It gives them comfort that their loved ones are being taken care of. Thank for all you do."""
Terry Walsh ,testimonial-7,63c996427b6ea9114fe08f7e,63c996437b6ea9e697e09bb5,Thu Dec 01 2022 17:19:08 GMT+0000 (Coordinated Universal Time),Thu Dec 01 2022 17:27:30 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),"""(Most) other providers are only interested in doing what they're reimbursed for. EmpowerMe goes beyond that...""",Terry Walsh ,"President and CEO, Friendship Village",,,"""(Most) other providers are only interested in doing what they're reimbursed for. EmpowerMe goes beyond that, sending a message of strong partnership. It is also a one-stop shop for many of the needs our residents have.”"
Jason Rich,testimonial-8,63c996427b6ea9114fe08f7e,63c996437b6ea9f396e09bb6,Thu Dec 01 2022 17:20:14 GMT+0000 (Coordinated Universal Time),Thu Dec 01 2022 17:27:40 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),"“We love what you do in our communities. When our residents receive their services, they're happy and live longer.” ",Jason Rich,"Vice President, Operations, SRG Senior Living",,,"“We love what you do in our communities. When our residents receive their services, they're happy and live longer.” "
Alex Salabarria,testimonial-9,63c996427b6ea9114fe08f7e,63c996437b6ea92f5ce09bb7,Thu Dec 01 2022 17:21:38 GMT+0000 (Coordinated Universal Time),Thu Dec 01 2022 17:27:51 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),“The service has been incredible. Bringing them on was one of the best decisions I’ve made in my career.” ,Alex Salabarria,"CEO and Owner, Oaks Senior Living",,,“The service has been incredible. Bringing them on was one of the best decisions I’ve made in my career.” 
