Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Type of Membership,Level of Membership,Community Logo,Digital Campaign Report (Operator Access Platinum Only),Digital Campaign Report URL (Operator Access Platinum Only)
Acoya Troon,acoya-troon,64107c2302e99de2b6724a6c,64107c2302e99d23ca725b28,Fri Nov 18 2022 02:05:43 GMT+0000 (Coordinated Universal Time),Fri Nov 18 2022 02:05:43 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d0aba725bfe_AcoyaTroon_Horizontal.png,,
Adam's Pointe Senior Living,adams-pointe-senior-living,64107c2302e99de2b6724a6c,64107c2302e99d0319725b54,Tue Nov 29 2022 15:06:50 GMT+0000 (Coordinated Universal Time),Tue Nov 29 2022 15:06:50 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d8e0e725c3b_Adams-Pointe-logo.webp,,
Addington Place of Jupiter,addington-place-of-jupiter,64107c2302e99de2b6724a6c,64107c2302e99dc32a725af2,Thu Oct 13 2022 14:56:35 GMT+0000 (Coordinated Universal Time),Fri Oct 14 2022 15:21:19 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d735f725bc7_AddingtonPlaceJupiter_LOGO.png,,
 Addington Place of Prairie Village,addington-place-of-prairie-village,64107c2302e99de2b6724a6c,64107c2302e99d76817259ec,Mon Oct 17 2022 13:47:02 GMT+0000 (Coordinated Universal Time),Mon Oct 17 2022 13:47:02 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d526a725674_Addington_Place_of_Prairie_Village_ozwvxp%20(1).webp,,
Addington Place of Stuart,addington-place-of-stuart,64107c2302e99de2b6724a6c,64107c2302e99d32cb725af3,Thu Oct 13 2022 14:57:25 GMT+0000 (Coordinated Universal Time),Fri Oct 14 2022 15:22:29 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d7ea4725bc9_AddingtonPlaceStuart_LOGO.png,,
Addington Place Prairie Village,addington-place-prairie-village,64107c2302e99de2b6724a6c,64107c2302e99dc11f7257c7,Thu Sep 29 2022 13:12:37 GMT+0000 (Coordinated Universal Time),Thu Sep 29 2022 13:12:37 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d526a725674_Addington_Place_of_Prairie_Village_ozwvxp%20(1).webp,,
Alura Senior Living ,alura-senior-living,64107c2302e99de2b6724a6c,64107c2302e99d13857257a5,Wed Sep 14 2022 14:41:48 GMT+0000 (Coordinated Universal Time),Wed Sep 14 2022 14:41:48 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d673c725752_Alura-Senior-Living-Logo-color-2048x1055.png,,
American House Orange City,american-house-orange-city,64107c2302e99de2b6724a6c,64107c2302e99de05e7257c6,Tue Sep 27 2022 14:49:34 GMT+0000 (Coordinated Universal Time),Tue Sep 27 2022 14:49:34 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d7bcd7256e9_american-house-sl-logo-1.png,,
American House Sarasota,american-house-sarasota,64107c2302e99de2b6724a6c,64107c2302e99d2d9f7258ef,Tue Nov 22 2022 15:27:11 GMT+0000 (Coordinated Universal Time),Tue Nov 22 2022 15:27:11 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d7bcd7256e9_american-house-sl-logo-1.png,,
American House St. Petersburg,american-house-st-petersburg,64107c2302e99de2b6724a6c,64107c2302e99d3b837258ee,Fri Nov 25 2022 18:16:06 GMT+0000 (Coordinated Universal Time),Fri Nov 25 2022 18:16:06 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d7bcd7256e9_american-house-sl-logo-1.png,,
Anthology of Overland Park,anthology-of-overland-park,64107c2302e99de2b6724a6c,64107c2302e99de4e0725af0,Thu Oct 13 2022 14:52:49 GMT+0000 (Coordinated Universal Time),Thu Oct 13 2022 14:52:49 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d9ba5725a8c_Anthology-logo.webp,,
Arbors Memory Care,arbors-memory-care,64107c2302e99de2b6724a6c,64107c2302e99d506f725ab7,Mon Oct 03 2022 19:58:39 GMT+0000 (Coordinated Universal Time),Mon Oct 03 2022 19:58:39 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d4c5f7257f5_Arbors-Memory-Care-Senior-Living-Community-Sparks-NV-Logo.png,,
Arcadia Senior Living Bowling Green,arcadia-senior-living-bowling-green,64107c2302e99de2b6724a6c,64107c2302e99d2016725baf,Thu Sep 29 2022 13:10:43 GMT+0000 (Coordinated Universal Time),Tue Feb 21 2023 17:17:40 GMT+0000 (Coordinated Universal Time),,Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d882f7255dd_arcadia-bg_logo-340px.webp,,
Arrowhead Valley,arrowhead-valley,64107c2302e99de2b6724a6c,64107c2302e99d52c1725b40,Fri Nov 25 2022 18:08:08 GMT+0000 (Coordinated Universal Time),Fri Nov 25 2022 18:08:08 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d4a94725c0a_Coronado%20Villa.svg,,
Ashley Pointe,ashley-pointe,64107c2302e99de2b6724a6c,64107c2302e99d151b725ac0,Thu Oct 06 2022 18:45:05 GMT+0000 (Coordinated Universal Time),Thu Oct 06 2022 18:45:05 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d387372585d_ashley-pointe-logo.webp,,
Ashton Grove Senior Living,ashton-grove-senior-living,64107c2302e99de2b6724a6c,64107c2302e99d2c86725b37,Fri Nov 18 2022 03:07:15 GMT+0000 (Coordinated Universal Time),Fri Nov 18 2022 21:21:15 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d4d89725be8_logo--ashton-grove.svg,,
Aston Gardens At Sun City Center,aston-gardens-at-sun-city-center,64107c2302e99de2b6724a6c,64107c2302e99d8e3d725b2c,Fri Nov 18 2022 13:40:46 GMT+0000 (Coordinated Universal Time),Fri Nov 18 2022 13:40:46 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99dbc2a725bec_Aston-Gardens-At-Sun-City-Center-logo.webp,,
Aston Gardens at the Courtyards,aston-gardens-at-the-courtyards,64107c2302e99de2b6724a6c,64107c2302e99d588d725b2d,Fri Nov 18 2022 13:52:35 GMT+0000 (Coordinated Universal Time),Fri Nov 18 2022 13:52:35 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99ddcfe725be5_aston-gardens-courtyards-logo.webp,,
Atrium at Liberty Park,atrium-at-liberty-park,64107c2302e99de2b6724a6c,64107c2302e99dfe14725b27,Fri Nov 18 2022 01:52:27 GMT+0000 (Coordinated Universal Time),Fri Nov 18 2022 01:52:27 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d226b725be0_Atrium%20At%20Liberty%20Park.webp,,
